ITEM_ID,VISIT_AREA_NM,X_COORD,Y_COORD
125,가야랜드,127.3398757,34.90741636
126,가야산국립공원 가야산2코스,128.1308644,35.81455118
127,가야산소리길,128.1158977,35.78173923
128,가야산야생화식물원,128.141813,35.80352507
129,가야산역사신화공원,128.1408366,35.80069734
130,가우도,126.7817007,34.53432631
131,가우도출렁다리,126.7799061,34.53659204
131,가우도출렁다리,126.7799061,34.53659204
132,가운문화공원,127.1586238,37.60243671
133,가음정공원 다목적구장,128.684265,35.2116426
134,가자실내낚시카페 대학로점,127.0039885,37.5816186
135,가정마을회관,127.3790935,34.91831535
136,가정역 (폐역),127.3682003,35.23020706
137,가조온천관광지 족욕체험장,128.02117,35.69868581
138,가좌이음숲,126.6859532,37.48316156
139,가지산,129.0029387,35.62027473
140,가지산도립공원,129.0156951,35.59898851
141,가진해변,128.5092094,38.37326815
142,가톨릭관동대학교 성 세바스티아노 스포츠센터,128.8770079,37.73823732
143,가파도,126.2714103,33.17001212
143,가파도,126.2714103,33.17001212
144,가파도상동포구 대합실,126.2708632,33.17458736
145,가평군어린이음악놀이터,127.5132748,37.82641236
146,가평레일파크,127.5158437,37.82897063
146,가평레일파크,127.5158437,37.82897063
147,가평레저파크,127.5529989,37.89167688
148,가평볼링센터,127.5177818,37.82461776
149,가평브릿지짚라인,127.4675111,37.83427177
150,가평빠지이비자수상레저,127.5409784,37.75700521
151,가평양떼목장,127.4720015,37.64361034
152,가평양떼목장카페,127.4737365,37.64382863
153,가평잣고을낭만음악회,126.3859695,33.31927276
154,가평잣고을시장,127.515052,37.82978135
154,가평잣고을시장,127.515052,37.82978135
155,가평초등학교,127.5072536,37.83071704
156,가평탑랜드,127.5260289,37.80604151
157,가학산,126.6570142,34.15412499
158,가현산,126.6507085,37.62582773
159,가회동백인제가옥,126.984173,37.58081752
159,가회동백인제가옥,126.984173,37.58081752
160,가회동성당,126.9845667,37.58205734
161,각연사,127.9270776,36.75478738
162,각원사,127.1971229,36.83364082
163,각화제,126.9428817,35.17963606
164,간세다리족욕카페,126.5583638,33.24765519
165,간세라운지,126.5243115,33.51257035
166,간월산,129.0401976,35.55212463
167,간월암,126.4111447,36.60374123
167,간월암,126.4111447,36.60374123
168,간월재,129.0453481,35.54765162
169,간월재 억새평원,129.0448404,35.54737007
170,간월호쉼터공원,126.3768973,36.62294129
171,간절곶,129.3615441,35.35910663
172,간절곶등대,129.3606643,35.35903693
173,간현관광지,127.8340397,37.36459081
174,간현생태공원,127.8350421,37.34869005
175,갈계숲,127.816269,35.77869677
176,갈남항,129.3252137,37.28072186
177,갈남해수욕장,129.3234197,37.28111563
178,갈대 군락지,126.2506311,33.29092307
179,갈대군락지,130.8781356,37.45904867
180,갈마공원,127.372799,36.35618597
181,갈매기바다낚시출조점,128.6302617,38.12148248
182,갈매못 순교성지,126.5079992,36.42822717
183,갈맷길 2코스2구간,129.12065,35.13228968
184,갈맷길 4코스1구간,129.0171822,35.07219994
185,갈보리교회,126.5289111,33.50194194
186,갈음이해수욕장,126.152427,36.69596925
187,감고당길,126.982317,37.57798093
187,감고당길,126.982317,37.57798093
188,감곡매괴 성모순교성지,127.6413377,37.12244614
189,감귤농원,126.3365783,33.23921892
190,감귤박물관,126.607467,33.27156161
190,감귤박물관,126.607467,33.27156161
191,감귤박물관 감귤체험학습장,126.6083674,33.2718169
192,감귤소녀체험장,126.3076705,33.28858153
193,감따남,126.494588,33.26205117
193,감따남,126.494588,33.26205117
194,감만창의문화촌,129.0817757,35.11822095
195,감성교복 롯데월드점,127.0974426,37.51225742
196,감악산,126.9699212,37.94121922
196,감악산,127.9233192,35.59213565
196,감악산,126.9699212,37.94121922
197,감악산등산코스,126.9583662,37.94350769
198,감악산출렁다리,126.9455323,37.93888604
199,감악산풍력단지,126.5266612,33.51669691
